# Source: https://en.wikipedia.org/wiki/2026_FIBA_Women's_Basketball_World_Cup_squads
# Captured 2026-09-03 via browser DOM extraction (table.sortable inside table.toccolours).
# Columns: team	pos	no	name	age	height_ftin	club	club_country
# Ages are as of 2026-09-04 per the page's own legend. Height ft/in only (metres dropped).
# NOTE: Korea and China were RENUMBERED and Korea RE-ROMANISED between the 09-02 and
# 09-03 captures. This page is being edited hourly this close to tip — re-capture, do
# not assume yesterday's numbers hold.
team	pos	no	name	age	height	club	club_country
BEL	F	71	Alicia Courthiau	20	5 ft 10 in	Wisconsin Badgers	United States
TUR	PF	1	Elif İstanbulluoğlu	21	6 ft 2 in	Louisville Cardinals	United States
TUR	SG	2	Sevgi Uzun	28	5 ft 10 in	Galatasaray	Turkey
TUR	PG	4	Olcay Çakır	33	6 ft 0 in	Fenerbahçe	Turkey
TUR	SF	6	Gökşen Fitik	25	5 ft 9 in	Galatasaray	Turkey
TUR	SG	8	Ayşe Cora	33	5 ft 9 in	Galatasaray	Turkey
TUR	PF	11	Elif Bayram	24	6 ft 1 in	Galatasaray	Turkey
TUR	PF	15	Tilbe Şenyürek	31	6 ft 2 in	Spar Girona	Spain
TUR	PG	17	Derin Erdoğan	24	5 ft 7 in	Galatasaray	Turkey
TUR	SF	20	Sinem Ataş	31	6 ft 1 in	ÇBK Mersin	Turkey
TUR	G	22	Kennedy Burke	29	6 ft 1 in	ÇBK Mersin	Turkey
TUR	PF	30	Melek Uzunoğlu	24	6 ft 2 in	Emlak Konut	Turkey
TUR	C	33	Esra Ural	35	6 ft 6 in	ÇBK Mersin	Turkey
CHN	PG	1	Zhang Manman	29	5 ft 7 in	Jiangsu Phoenix	China
CHN	PG	4	Li Yuan	26	5 ft 7 in	Sichuan Yuanda Meile	China
CHN	G	5	Wang Siyu	30	5 ft 11 in	Sichuan Yuanda Meile	China
CHN	F	6	Yang Shuyu	24	5 ft 11 in	Guangdong Vermilion Birds	China
CHN	G	9	Tang Ziting	26	6 ft 3 in	Sichuan Yuanda Meile	China
CHN	F	11	Luo Xinyu	24	6 ft 2 in	Jiangsu Phoenix	China
CHN	F	12	Chen Yujie	26	5 ft 10 in	Shanxi Flame	China
